ID,totalSlotNumber,City,Street,lon,lat
urn%3ngsi-ld%3station%3001,12,Montpellier,Rue Jules Ferry - Gare Saint-Roch,3.881346,43.605366
urn%3ngsi-ld%3station%3002,20,Montpellier,Comédie,3.878778,43.608148
urn%3ngsi-ld%3station%3003,32,Montpellier,Esplanade,3.881293,43.609478
urn%3ngsi-ld%3station%3004,16,Montpellier,Hôtel de Ville,3.894866,43.599088
urn%3ngsi-ld%3station%3005,12,Montpellier,Corum,3.8816,43.613989
urn%3ngsi-ld%3station%3006,27,Montpellier,Place Albert 1er - St Charles,3.873375,43.616768
urn%3ngsi-ld%3station%3007,8,Montpellier,Foch,3.873345,43.610989
urn%3ngsi-ld%3station%3008,12,Montpellier,Halles Castellane,3.877208,43.609935
urn%3ngsi-ld%3station%3010,16,Montpellier,Rondelet,3.875796,43.603038
urn%3ngsi-ld%3station%3011,12,Montpellier,Plan Cabanes,3.868389,43.608491
urn%3ngsi-ld%3station%3012,12,Montpellier,Boutonnet,3.868375,43.622629
urn%3ngsi-ld%3station%3013,8,Montpellier,Emile Combes,3.87998,43.616742
urn%3ngsi-ld%3station%3014,16,Montpellier,Beaux-Arts,3.884981,43.616698
urn%3ngsi-ld%3station%3015,8,Montpellier,Les Aubes,3.893844,43.618692
urn%3ngsi-ld%3station%3016,16,Montpellier,Antigone centre,3.890634,43.607942
urn%3ngsi-ld%3station%3017,16,Montpellier,Médiathèque Emile Zola,3.89314,43.608218
urn%3ngsi-ld%3station%3018,16,Montpellier,Nombre d Or,3.886644,43.607859
urn%3ngsi-ld%3station%3019,16,Montpellier,Louis Blanc,3.877648,43.614642
urn%3ngsi-ld%3station%3020,8,Montpellier,Gambetta,3.870693,43.607106
urn%3ngsi-ld%3station%3021,16,Montpellier,Port Marianne,3.89851,43.60032
urn%3ngsi-ld%3station%3022,12,Montpellier,Clemenceau,3.872394,43.603539
urn%3ngsi-ld%3station%3023,16,Montpellier,Les Arceaux,3.867157,43.611991
urn%3ngsi-ld%3station%3024,8,Montpellier,Cité Mion,3.884373,43.601143
urn%3ngsi-ld%3station%3025,8,Montpellier,Nouveau Saint-Roch,3.875757,43.599817
urn%3ngsi-ld%3station%3026,8,Montpellier,Renouvier,3.867884,43.603553
urn%3ngsi-ld%3station%3027,8,Montpellier,Odysseum,3.918979,43.603727
urn%3ngsi-ld%3station%3028,8,Montpellier,Saint-Denis,3.875065,43.605021
urn%3ngsi-ld%3station%3029,16,Montpellier,Richter,3.899263,43.603424
urn%3ngsi-ld%3station%3030,8,Montpellier,Charles Flahault,3.865971,43.618762
urn%3ngsi-ld%3station%3031,8,Montpellier,Voltaire,3.888659,43.603767
urn%3ngsi-ld%3station%3032,8,Montpellier,Prés d Arènes,3.884611,43.59048
urn%3ngsi-ld%3station%3033,8,Montpellier,Garcia Lorca,3.890616,43.590757
urn%3ngsi-ld%3station%3034,16,Montpellier,Vert Bois,3.871179397,43.635429956
urn%3ngsi-ld%3station%3035,8,Montpellier,Malbosc,3.832861,43.633679
urn%3ngsi-ld%3station%3036,32,Montpellier,Occitanie,3.849128,43.634242
urn%3ngsi-ld%3station%3037,24,Montpellier,FacdesSciences,3.860697,43.631018
urn%3ngsi-ld%3station%3038,12,Montpellier,Fac de Lettres,3.870339812,43.629722022
urn%3ngsi-ld%3station%3039,8,Montpellier,Aiguelongue,3.882492,43.626163
urn%3ngsi-ld%3station%3040,8,Montpellier,Jeu de Mail des Abbés,3.883831,43.619701
urn%3ngsi-ld%3station%3041,8,Montpellier,Euromédecine,3.828199,43.639119
urn%3ngsi-ld%3station%3042,8,Montpellier,Marie Caizergues,3.873812,43.619871
urn%3ngsi-ld%3station%3043,8,Montpellier,Sabines,3.860031,43.584211
urn%3ngsi-ld%3station%3044,8,Montpellier,Celleneuve,3.832624,43.61467
urn%3ngsi-ld%3station%3045,8,Montpellier,Jardin de la Lironde,3.911576,43.60585
urn%3ngsi-ld%3station%3046,8,Montpellier,Père Soulas,3.855603,43.621983
urn%3ngsi-ld%3station%3047,8,Montpellier,Place Viala,3.855075,43.616812
urn%3ngsi-ld%3station%3048,8,Montpellier,Hôtel du Département,3.83477,43.621682
urn%3ngsi-ld%3station%3049,8,Montpellier,Tonnelles,3.839466,43.615155
urn%3ngsi-ld%3station%3050,8,Montpellier,Parvis Jules Ferry - Gare Saint-Roch,3.879362,43.603889
urn%3ngsi-ld%3station%3051,12,Montpellier,Pont de Lattes - Gare Saint-Roch,3.882393,43.606036
urn%3ngsi-ld%3station%3053,8,Montpellier,Deux Ponts - Gare Saint-Roch,3.880916,43.604319
urn%3ngsi-ld%3station%3054,8,Montpellier,Providence - Ovalie,3.853421,43.588239
urn%3ngsi-ld%3station%3055,68,Montpellier,Pérols Etang de l Or,3.963412,43.558351
urn%3ngsi-ld%3station%3056,12,Montpellier,Albert 1er - Cathédrale,3.873218,43.614005
urn%3ngsi-ld%3station%3057,8,Montpellier,Saint-Guilhem - Courreau,3.872752,43.608996
urn%3ngsi-ld%3station%3059,8,Montpellier,Sud De France,3.9235,43.59562
